t,delta,EmergR
5.66,-13.2443999999999,-3.4633218559866
5.68,-13.2911999999999,-3.48088662325239
5.7,-13.3379999999999,-3.49754084125147
5.72,-13.3847999999999,-3.51328546696063
5.74,-13.4315999999999,-3.52812364630053
5.76,-13.4783999999999,-3.5420607207993
5.78,-13.5251999999999,-3.55510422856261
5.8,-13.5719999999999,-3.56726389952764
5.82,-13.6187999999999,-3.57855164499354
5.84,-13.6655999999999,-3.58898154143509
5.86,-13.7123999999999,-3.59856980862129
5.88,-13.7591999999999,-3.60733478207524
5.9,-13.8059999999999,-3.61529687992604
5.92,-13.8527999999999,-3.62247856421817
5.94,-13.8995999999999,-3.62890429675782
5.96,-13.9463999999999,-3.63460048959003
5.98,-13.9931999999999,-3.63959545021419
6,-14.0399999999999,-3.64391932165928
6.02,-14.0867999999999,-3.64760401755335
6.04,-14.1335999999999,-3.65068315233494
6.06,-14.1803999999999,-3.65319196676667
6.08,-14.2271999999999,-3.65516724892372
6.1,-14.2739999999999,-3.65664725084124
6.12,-14.3207999999999,-3.65767160101683
6.14,-14.3675999999999,-3.65828121297444
6.16,-14.4143999999999,-3.65851819010687
6.18,-14.4611999999999,-3.65842572702364
6.2,-14.5079999999999,-3.65804800764043
6.22,-14.5547999999999,-3.65743010025482
6.24,-14.6015999999999,-3.6566178498612
6.26,-14.6483999999999,-3.65565776796525
6.28,-14.6951999999999,-3.65459692016495
6.3,-14.7419999999999,-3.66017902289943
6.32,-14.7887999999999,-3.66324605138873
6.34,-14.8355999999999,-3.66129019959512
6.36,-14.8823999999999,-3.65942325956586
6.38,-14.9291999999999,-3.65769073137457
6.4,-14.9759999999999,-3.65614551871373
6.42,-15.0227999999999,-3.65483561077844
6.44,-15.0695999999999,-3.65380860364398
6.46,-15.1163999999999,-3.65311158042457
6.48,-15.1631999999999,-3.65279099208908
6.5,-15.2099999999999,-3.65289253922869
6.52,-15.2568,-3.65346105506937
6.54,-15.3036,-3.65454039001952
6.56,-15.3504,-3.65617329803966
6.58,-15.3972,-3.65840132511693
6.6,-15.444,-3.66126470012252
6.62,-15.4908,-3.66480222832434
6.64,-15.5376,-3.66905118782129
6.66,-15.5844,-3.6740472291585
6.68,-15.6312,-3.67982427837539
6.7,-15.678,-3.68641444373013
6.72,-15.7248,-3.69384792633558
6.74,-15.7716,-3.70215293493213
6.76,-15.8184,-3.711355605013
6.78,-15.8652,-3.72147992250712
6.8,-15.912,-3.73254765221379
6.82,-15.9588,-3.74457827117153
6.84,-16.0056,-3.75758890713196
6.86,-16.0524,-3.77159428229687
6.88,-16.0992,-3.78660666246409
6.9,-16.146,-3.80263581171436
6.92,-16.1928,-3.81968895275833
6.94,-16.2396,-3.83777073304853
6.96,-16.2864,-3.85688319674772
6.98,-16.3332,-3.87702576263005
7,-16.38,-3.89819520797787
7.02,-16.4268,-3.92038565852151
7.04,-16.4736,-3.94358858445547
7.06,-16.5204,-3.96779280254892
7.08,-16.5672,-3.99298448435422
7.1,-16.614,-4.01914717050173
7.12,-16.6608,-4.04626179105483
7.14,-16.7076,-4.07430669188407
7.16,-16.7544,-4.10325766700469
7.18,-16.8012,-4.13308799680747
7.2,-16.848,-4.1637684920983
7.22,-16.8948,-4.19526754384797
7.24,-16.9416,-4.22755117853965
7.26,-16.9884,-4.26058311898801
7.28,-17.0352000000001,-4.29432485049081
7.3,-17.0820000000001,-4.32873569216068
7.32,-17.1288000000001,-4.36488917759425
7.34,-17.1756000000001,-4.40151517243496
7.36,-17.2224000000001,-4.43856307089214
7.38,-17.2692000000001,-4.47598301550214
7.4,-17.3160000000001,-4.51372343420336
7.42,-17.3628000000001,-4.55330422620048
7.44,-17.4096000000001,-4.59420663854461
7.46,-17.4564000000001,-4.63530560488012
7.48,-17.5032000000001,-4.67654682014346
7.5,-17.5500000000001,-4.71787478281587
7.52,-17.5968000000001,-4.75923290913821
7.54,-17.6436000000001,-4.80056364984111
7.56,-17.6904000000001,-4.84180860911631
7.58,-17.7372000000001,-4.88290866554953
7.6,-17.7840000000001,-4.92380409473134
7.62,-17.8308000000001,-4.96443469325803
7.64,-17.8776000000001,-5.00473990383207
7.66,-17.9244000000001,-5.04465894116927
7.68,-17.9712000000001,-5.08413091841793
7.7,-18.0180000000001,-5.12309497379477
7.72,-18.0648000000001,-5.16149039714223
7.74,-18.1116000000001,-5.19925675611213
7.76,-18.1584000000001,-5.23633402168239
7.78,-18.2052000000001,-5.27266269271521
7.8,-18.2520000000001,-5.30818391926833
7.82,-18.2988000000001,-5.3428396243739
7.84,-18.3456000000001,-5.37657262400436
7.86,-18.3924000000001,-5.40932674494915
7.88,-18.4392000000001,-5.44104694033159
7.9,-18.4860000000001,-5.471679402502
7.92,-18.5328000000001,-5.50117167304938
7.94,-18.5796000000001,-5.52947274968179
7.96,-18.6264000000001,-5.55653318973359
7.98,-18.6732000000001,-5.58230521006643
8,-18.7200000000001,-5.60674278313987
8.02,-18.7668000000002,-5.62980172903768
8.04,-18.8136000000002,-5.65143980324561
8.06,-18.8604000000002,-5.67161677998778
8.08,-18.9072000000002,-5.69029453093953
8.1,-18.9540000000002,-5.70743709914644
8.12,-19.0008000000002,-5.72301076799138
8.14,-19.0476000000002,-5.73698412506347
8.16,-19.0944000000002,-5.74932812079608
8.18,-19.1412000000002,-5.76001612175349
8.2,-19.1880000000002,-5.76902395845944
8.22,-19.2348000000002,-5.77632996767446
8.24,-19.2816000000002,-5.7819150290421
8.26,-19.3284000000002,-5.7857625960386
8.28,-19.3752000000002,-5.78785872117423
8.3,-19.4220000000002,-5.78819207217343
8.32,-19.4688000000002,-5.78675393628142
8.34,-19.5156000000002,-5.78353825809721
8.36,-19.5624000000002,-5.7785416268275
8.38,-19.6092000000002,-5.77176326969155
8.4,-19.6560000000002,-5.763205045752
8.42,-19.7028000000002,-5.75287143230579
8.44,-19.7496000000002,-5.74076948651347
8.46,-19.7964000000002,-5.72690883111474
8.48,-19.8432000000002,-5.71130162247577
8.5,-19.8900000000002,-5.6939625131782
8.52,-19.9368000000002,-5.67490860933123
8.54,-19.9836000000002,-5.65415942273272
8.56,-20.0304000000002,-5.63173681801755
8.58,-20.0772000000002,-5.60766495494318
8.6,-20.1240000000002,-5.5819702259737
8.62,-20.1708000000002,-5.5652905068634
8.64,-20.2176000000002,-5.53633300103903
8.66,-20.2644000000002,-5.50584221291926
