Time,AngleX
78.4,0.978586833
78.5,0.278711433
78.6,-0.421275449
78.7,-1.121093826
78.8,-1.82046378
78.9,-2.519105573
79,-3.216739758
79.1,-3.913087289
79.2,-4.607869638
79.3,-5.300808901
79.4,-5.99162791
79.5,-6.680050348
79.6,-7.365800855
79.7,-8.04860514
79.8,-8.72819009
79.9,-9.404283881
80,-10.07661608
80.1,-10.74491777
80.2,-11.40892164
80.3,-12.06836209
80.4,-12.72297536
80.5,-13.3724996
80.6,-14.01667503
80.7,-14.65524397
80.8,-15.287951
80.9,-15.91454307
81,-16.53476952
81.1,-17.14838229
81.2,-17.75513594
81.3,-18.35478777
81.4,-18.94709792
81.5,-19.5318295
81.6,-20.10874859
81.7,-20.67762446
81.8,-21.23822956
81.9,-21.79033964
82,-22.33373388
82.1,-22.86819493
82.2,-23.393509
82.3,-23.90946598
82.4,-24.41585949
82.5,-24.91248698
82.6,-25.39914981
82.7,-25.87565332
82.8,-26.34180692
82.9,-26.79742414
83,-27.24232275
83.1,-27.67632479
83.2,-28.09925668
83.3,-28.51094923
83.4,-28.91123779
83.5,-29.29996223
83.6,-29.67696708
83.7,-30.04210154
83.8,-30.39521956
83.9,-30.7361799
84,-31.06484618
84.1,-31.38108693
84.2,-31.68477566
84.3,-31.97579091
84.4,-32.25401627
84.5,-32.51934045
84.6,-32.77165732
84.7,-33.01086598
84.8,-33.23687072
84.9,-33.44958116
85,-33.64891222
85.1,-33.83478415
85.2,-34.00712263
85.3,-34.16585871
85.4,-34.3109289
85.5,-34.44227518
85.6,-34.559845
85.7,-34.66359135
85.8,-34.75347273
85.9,-34.82945318
86,-34.89150231
86.1,-34.93959531
86.2,-34.97371293
86.3,-34.99384154
86.4,-34.99997307
86.5,-34.99210509
86.6,-34.97024073
86.7,-34.93438873
86.8,-34.88456345
86.9,-34.82078481
87,-34.74307832
87.1,-34.65147506
87.2,-34.54601167
87.3,-34.42673034
87.4,-34.29367877
87.5,-34.14691019
87.6,-33.9864833
87.7,-33.81246227
87.8,-33.62491671
87.9,-33.42392163
88,-33.20955743
88.1,-32.98190984
88.2,-32.74106993
88.3,-32.48713403
88.4,-32.22020371
88.5,-31.94038574
88.6,-31.64779204
88.7,-31.34253965
88.8,-31.02475065
88.9,-30.69455217
89,-30.35207628
89.1,-29.99745996
89.2,-29.63084506
89.3,-29.25237822
89.4,-28.86221081
89.5,-28.46049891
89.6,-28.04740318
89.7,-27.62308887
89.8,-27.18772569
89.9,-26.74148778
90,-26.28455364
90.1,-25.81710602
90.2,-25.3393319
90.3,-24.85142239
90.4,-24.35357265
90.5,-23.84598179
90.6,-23.32885287
90.7,-22.80239271
90.8,-22.2668119
90.9,-21.72232466
91,-21.16914878
91.1,-20.60750553
91.2,-20.03761955
91.3,-19.45971878
91.4,-18.87403439
91.5,-18.28080064
91.6,-17.68025481
91.7,-17.07263711
91.8,-16.45819059
91.9,-15.83716101
92,-15.20979677
92.1,-14.57634882
92.2,-13.93707053
92.3,-13.29221759
92.4,-12.64204794
92.5,-11.98682165
92.6,-11.32680078
92.7,-10.66224934
92.8,-9.993433151
92.9,-9.320619718
93,-8.644078161
93.1,-7.964079088
93.2,-7.280894489
93.3,-6.59479763
93.4,-5.90606294
93.5,-5.214965903
93.6,-4.52178295
93.7,-3.826791344
93.8,-3.130269072
93.9,-2.432494734
94,-1.733747431
94.1,-1.034306652
94.2,-0.334452164
94.3,0.365536101
94.4,1.065378155
94.5,1.764794073
94.6,2.463504097
94.7,3.161228752
94.8,3.857688957
94.9,4.552606139
95,5.245702338
95.1,5.936700327
95.2,6.625323714
95.3,7.311297061
95.4,7.994345986
95.5,8.674197279
95.6,9.350579009
95.7,10.02322063
95.8,10.6918531
95.9,11.35620897
96,12.01602251
96.1,12.6710298
96.2,13.32096884
96.3,13.96557968
96.4,14.60460447
96.5,15.23778761
96.6,15.86487584
96.7,16.48561834
96.8,17.0997668
96.9,17.70707559
97,18.30730178
97.1,18.9002053
97.2,19.48554898
97.3,20.06309871
97.4,20.63262346
97.5,21.19389544
97.6,21.74669014
97.7,22.29078646
97.8,22.82596676
97.9,23.35201698
98,23.8687267
98.1,24.37588925
98.2,24.87330177
