Omega,Zeta_a,Wavenum,Phase,Psi
2.499091561,0.053623404,0.636642062,4.116824358,-2.437925096
2.491184901,0.039115797,0.632620001,5.262702386,-2.268101605
2.586399005,0.025318243,0.681902122,2.334882128,-2.102368152
2.54382156,0.013581342,0.659635895,2.671944397,-1.938064371
2.596183181,0.005053984,0.687071061,3.736380158,-1.78809507
2.452772315,0.000570887,0.613261165,3.554640284,-1.62025442
2.737431141,0.000484992,0.763866386,4.502168662,1.650930977
2.670186035,0.004293573,0.726798518,3.212664579,1.840024667
2.684578261,0.011537922,0.734654479,4.878272687,1.96588426
2.609956313,0.021508915,0.694380424,3.074648304,2.137204401
2.704001471,0.033230519,0.745323543,1.168072116,2.350964151
2.669871233,0.045555343,0.726627156,4.402222083,2.48533239
2.745354111,0.057276948,0.768294515,6.174541505,2.563186283
2.745793443,0.06724794,0.768540432,5.068254455,2.762668949
2.671774558,0.07449229,0.727663536,4.420645953,2.847885419
2.648414633,0.07830087,0.71499491,3.047116916,3.024466894
2.664596178,0.07830087,0.723758694,0.720133594,-3.015452855
2.776773769,0.07449229,0.785980894,4.177410731,-2.879608033
2.689168914,0.06724794,0.737169159,2.295711868,-2.825292966
2.669155922,0.057276948,0.726237853,0.879925272,-2.582141074
2.740288688,0.045555343,0.765461987,3.561138531,-2.441871858
2.670739538,0.033230519,0.727099865,5.171113748,-2.214045399
2.764656507,0.021508915,0.779136147,4.234544143,-2.154793449
2.635963558,0.011537922,0.708287857,6.279712622,-2.031819652
2.669154083,0.004293573,0.726236852,6.042139744,-1.810092714
2.767735416,0.000484992,0.780872511,0.369841893,-1.573354853
2.875170527,0.000415521,0.842671311,2.263901855,1.71567866
2.798765415,0.003678555,0.798479903,3.446407652,1.816028461
2.914556303,0.009885213,0.865916253,1.644746715,1.987422515
2.783399419,0.018427945,0.789736221,3.753228372,2.163407452
2.890825902,0.028470529,0.851873027,0.309622784,2.215792912
2.954329795,0.039029927,0.889710962,3.588060058,2.356363094
2.853900306,0.049072511,0.830249435,4.40361587,2.59837418
2.913881183,0.057615243,0.865515143,6.046235448,2.671430975
2.905459568,0.063821902,0.860519399,4.715645128,2.898329344
2.958213945,0.067084935,0.892051962,4.64951343,3.015247544
2.819136921,0.067084935,0.810146073,2.713540511,-3.0179485
2.88906297,0.063821902,0.850834337,3.985210538,-2.887349431
2.953377597,0.057615243,0.889137536,5.045563302,-2.824995362
2.829277487,0.049072511,0.815984821,0.527039911,-2.530418742
2.874948204,0.039029927,0.842540996,5.940517897,-2.393626065
2.896787528,0.028470529,0.855390213,5.755036206,-2.213717759
2.854533504,0.018427945,0.830617892,3.782398535,-2.079959181
2.869909751,0.009885213,0.839590416,1.593168103,-1.982230306
2.917275419,0.003678555,0.867532708,5.488053268,-1.832944832
2.805208278,0.000415521,0.802160396,3.225791798,-1.648695503
2.969803632,0.00035885,0.899055414,4.603379794,1.659478554
3.028663949,0.003176853,0.935046413,2.652927882,1.848387039
3.086534379,0.008537013,0.971120741,6.040465852,2.007456936
3.130071974,0.01591464,0.998710557,0.452761549,2.118077143
3.047807246,0.024587562,0.946904079,3.477164814,2.325126216
2.985249069,0.03370681,0.908431397,1.834589083,2.430180906
3.048930249,0.042379732,0.947602005,5.39074374,2.545123416
3.131826279,0.049757359,0.999830361,2.109611754,2.76139945
3.028090346,0.055117519,0.934692267,4.273846839,2.932127004
3.021042665,0.057935522,0.930346461,0.335801203,3.090819064
3.100819355,0.057935522,0.980130548,2.240932832,-2.993543334
3.015439581,0.055117519,0.926898661,3.130940116,-2.863538372
2.994001413,0.049757359,0.913766,2.729670407,-2.711602189
3.086085049,0.042379732,0.970838015,3.534030462,-2.534281596
3.009456343,0.03370681,0.923224004,3.874344825,-2.357616325
3.044246197,0.024587562,0.944692651,0.712136103,-2.277037728
3.113532383,0.01591464,0.988183884,5.643882139,-2.10029833
3.120319343,0.008537013,0.992496718,4.740986114,-1.917532287
3.087740362,0.003176853,0.97187977,4.970773639,-1.81448194
3.097734404,0.00035885,0.978181288,5.120494859,-1.645510138
3.316537142,0.000312212,1.121245526,4.20975844,1.597731277
3.213786935,0.002763972,1.052846734,1.262143722,1.748400888
3.16515974,0.007427496,1.021226929,1.715863524,1.919321651
3.271696577,0.013846287,1.091131345,3.93474828,2.058604063
3.303073785,0.021392027,1.112160696,3.373138681,2.221329978
3.172236882,0.029326089,1.025798862,0.373874978,2.427974903
3.149317146,0.036871829,1.011029407,0.55896322,2.637073772
3.227611117,0.04329062,1.061923906,1.704679535,2.714503182
3.158456056,0.047954144,1.016905674,2.570277164,2.862742805
3.258289326,0.050405904,1.082206864,2.978490276,3.12727873
3.312545118,0.050405904,1.118547926,5.711348522,-3.140441441
3.223761045,0.047954144,1.059391975,3.746331258,-2.892034063
3.237973242,0.04329062,1.068753386,2.066887121,-2.742277712
3.153528398,0.036871829,1.013735103,3.00458419,-2.567698449
3.230252004,0.029326089,1.063662386,3.752134666,-2.464039872
3.216549434,0.021392027,1.054657519,1.014412445,-2.319884147
3.194058517,0.013846287,1.039960225,5.211740426,-2.133759704
3.193593002,0.007427496,1.039657111,6.007494255,-1.995100021
3.27692277,0.002763972,1.094620066,3.741938413,-1.779329531
3.158969379,0.000312212,1.017236242,0.180630351,-1.580494819
3.334920343,0.000273498,1.133709857,5.102686747,1.62469784
3.450530597,0.002421245,1.213675984,3.833456657,1.816305914
3.458428827,0.006506502,1.219238527,4.407608003,1.903630563
3.43922623,0.012129376,1.205736704,0.579285826,2.068585022
3.466596431,0.018739461,1.225004161,2.66965721,2.242923647
3.388296197,0.025689715,1.170290634,2.359817742,2.443658732
3.37608678,0.0322998,1.161871758,1.04397688,2.58955029
3.38766007,0.037922674,1.169851249,5.234845009,2.81992863
3.44798718,0.042007931,1.21188742,5.26932867,2.863863429
3.351337279,0.044155678,1.144899242,2.837574633,3.059700506
3.467191087,0.044155678,1.225424469,6.010503747,-3.058886708
3.404809345,0.042007931,1.181725451,0.924591053,-2.85999273
3.450776655,0.037922674,1.213849085,5.465949803,-2.797115817
3.499710684,0.0322998,1.248519355,4.834511484,-2.527474052
3.386188623,0.025689715,1.168835208,2.790749738,-2.368415852
3.452310195,0.018739461,1.214928204,3.899471226,-2.354110614
3.437740255,0.012129376,1.204695012,5.979640106,-2.078548443
3.443425939,0.006506502,1.2086832,4.021299264,-1.893226991
3.322478722,0.002421245,1.125266551,1.554005325,-1.757201859
3.438544842,0.000273498,1.205258984,2.216091991,-1.582761115
3.67032003,0.000241097,1.373216017,1.180362211,1.602054743
3.610725973,0.0021344,1.328984919,3.082809422,1.833790301
