t,rpm,PE,uF,EmergP
5.22,125.970143685719,6933.31334786356,0.950868769282068,-2.84924281439009
5.24,125.969689794011,6933.26338415506,0.950865343141259,-2.88154337652919
5.26,125.969236538059,6933.2134906093,0.950861921799371,-2.91330135905491
5.28,125.968783894431,6933.16366464609,0.950858505079526,-2.94447967058029
5.3,125.968331840516,6933.11390377594,0.950855092811059,-2.97504206293186
5.32,125.967880354499,6933.06420559663,0.950851684829289,-3.00495323131445
5.34,125.967429415325,6933.0145677899,0.95084828097529,-3.03417891244741
5.36,125.966979002674,6932.96498811831,0.950844881095676,-3.0629982886032
5.38,125.966529096931,6932.91546442217,0.95084148504239,-3.09260752861652
5.4,125.966079679161,6932.86599461663,0.950838092672505,-3.12154346686777
5.42,125.965630731083,6932.81657668881,0.950834703848027,-3.14977873159861
5.44,125.965182235045,6932.76720869512,0.950831318435713,-3.17728741173422
5.46,125.964734174,6932.71788875866,0.950827936306889,-3.20404513684224
5.48,125.964286531485,6932.66861506665,0.950824557337278,-3.24631858773748
5.5,125.963839291596,6932.61938586805,0.950821181406834,-3.29057765628337
5.52,125.963392438969,6932.57019947123,0.950817808399586,-3.3152124077105
5.54,125.962945958758,6932.52105424171,0.950814438203475,-3.33900501243115
5.56,125.962499836619,6932.4719486,0.950811070710217,-3.36193981944788
5.58,125.962054058686,6932.42288101955,0.950807705815155,-3.3840031158386
5.6,125.961608611557,6932.37385002473,0.950804343417121,-3.40518317644891
5.62,125.961163482274,6932.32485418892,0.950800983418308,-3.42546771094016
5.64,125.960718658309,6932.27589213265,0.950797625724142,-3.44484775910091
5.66,125.960274127543,6932.22696252184,0.950794270243157,-3.4633218559866
5.68,125.959829878257,6932.17806406605,0.950790916886881,-3.48088662325239
5.7,125.959385899111,6932.12919551688,0.950787565569724,-3.49754084125147
5.72,125.958942179134,6932.08035566632,0.950784216208865,-3.51328546696063
5.74,125.958498707707,6932.03154334533,0.95078086872415,-3.52812364630053
5.76,125.95805547455,6931.98275742223,0.950777523037993,-3.5420607207993
5.78,125.957612469713,6931.93399680142,0.950774179075275,-3.55510422856261
5.8,125.957169683559,6931.88526042193,0.950770836763254,-3.56726389952764
5.82,125.956727106754,6931.83654725615,0.950767496031475,-3.57855164499354
5.84,125.956284730255,6931.78785630859,0.950764156811683,-3.58898154143509
5.86,125.955842545301,6931.73918661462,0.95076081903774,-3.59856980862129
5.88,125.955400543399,6931.69053723932,0.950757482645544,-3.60733478207524
5.9,125.954958716317,6931.6419072764,0.950754147572954,-3.61529687992604
5.92,125.954517056073,6931.59329584704,0.950750813759715,-3.62247856421817
5.94,125.954075554925,6931.54470209895,0.950747481147389,-3.62890429675782
5.96,125.953634205362,6931.49612520529,0.950744149679283,-3.63460048959003
5.98,125.953193000096,6931.44756436375,0.950740819300384,-3.63959545021419
6,125.952751932053,6931.39901879559,0.950737489957298,-3.64391932165928
6.02,125.952310994366,6931.3504877448,0.950734161598185,-3.64760401755335
6.04,125.951870180366,6931.3019704772,0.950730834172704,-3.65068315233494
6.06,125.951429483574,6931.25346627963,0.950727507631956,-3.65319196676667
6.08,125.950988897696,6931.20497445916,0.950724181928425,-3.65516724892372
6.1,125.950548416614,6931.15649434233,0.950720857015933,-3.65664725084124
6.12,125.95010803438,6931.1080252744,0.950717532849584,-3.65767160101683
6.14,125.94966774521,6931.05956661866,0.950714209385717,-3.65828121297444
6.16,125.949227543478,6931.01111775573,0.950710886581861,-3.65851819010687
6.18,125.948787423709,6930.96267808294,0.950707564396688,-3.65842572702364
6.2,125.948347380573,6930.91424701364,0.950704242789972,-3.65804800764043
6.22,125.947907408881,6930.86582397668,0.950700921722545,-3.65743010025482
6.24,125.94746750358,6930.81740841573,0.950697601156257,-3.6566178498612
6.26,125.947027659745,6930.76899978881,0.950694281053941,-3.65565776796525
6.28,125.946587872578,6930.72059756767,0.950690961379373,-3.65459692016495
6.3,125.9461481374,6930.67220123735,0.950687642097239,-3.66017902289943
6.32,125.945708449648,6930.62381029559,0.950684323173093,-3.66324605138873
6.34,125.945268804871,6930.57542425244,0.950681004573337,-3.66129019959512
6.36,125.944829198725,6930.52704262973,0.950677686265178,-3.65942325956586
6.38,125.944389626967,6930.47866496065,0.950674368216603,-3.65769073137457
6.4,125.943950085458,6930.43029078934,0.950671050396347,-3.65614551871373
6.42,125.943510570149,6930.38191967043,0.950667732773867,-3.65483561077844
6.44,125.943071077087,6930.3335511687,0.950664415319313,-3.65380860364398
6.46,125.942631602406,6930.28518485864,0.950661098003504,-3.65311158042457
6.48,125.942192142325,6930.23682032412,0.9506577807979,-3.65279099208908
6.5,125.941752693145,6930.18845715806,0.950654463674581,-3.65289253922869
6.52,125.941313251245,6930.14009496201,0.950651146606218,-3.65346105506937
6.54,125.940873813082,6930.09173334591,0.950647829566059,-3.65454039001952
6.56,125.940434375184,6930.04337192771,0.950644512527899,-3.65617329803966
